product_id,store_id,stock_on_hand,reorder_level,last_updated
1013,18,9,87,2026-03-29 07:03:39.796235
1013,40,223,43,2026-03-29 07:03:39.796238
1013,99,387,28,2026-03-29 07:03:39.796241
1014,68,112,84,2026-03-29 07:03:39.796257
1014,40,4,44,2026-03-29 07:03:39.796260
1014,56,279,78,2026-03-29 07:03:39.796263
1014,45,298,95,2026-03-29 07:03:39.796266
1014,63,142,31,2026-03-29 07:03:39.796269
1015,39,370,23,2026-03-29 07:03:39.796286
1015,92,297,46,2026-03-29 07:03:39.796289
1015,79,488,62,2026-03-29 07:03:39.796293
1015,62,258,72,2026-03-29 07:03:39.796296
1015,8,431,52,2026-03-29 07:03:39.796299
1016,21,302,63,2026-03-29 07:03:39.796315
1016,33,376,40,2026-03-29 07:03:39.796318
1016,3,302,90,2026-03-29 07:03:39.796321
1016,32,83,77,2026-03-29 07:03:39.796324
1016,62,385,42,2026-03-29 07:03:39.796327
1017,85,226,27,2026-03-29 07:03:39.796343
1017,61,198,41,2026-03-29 07:03:39.796346
1017,13,3,59,2026-03-29 07:03:39.796349
1017,52,345,34,2026-03-29 07:03:39.796352
1017,82,19,25,2026-03-29 07:03:39.796355
1018,74,-5,35,2026-03-29 07:03:39.796371
1018,61,435,68,2026-03-29 07:03:39.796374
1018,56,296,73,2026-03-29 07:03:39.796377
1018,77,208,47,2026-03-29 07:03:39.796380
1018,93,422,84,2026-03-29 07:03:39.796383
1019,24,14,13,2026-03-29 07:03:39.796399
1019,64,428,32,2026-03-29 07:03:39.796402
1019,69,433,80,2026-03-29 07:03:39.796405
1019,19,17,99,2026-03-29 07:03:39.796408
1019,52,233,36,2026-03-29 07:03:39.796411
1020,56,327,95,2026-03-29 07:03:39.796428
1020,81,380,86,2026-03-29 07:03:39.796433
1020,61,-5,62,2026-03-29 07:03:39.796438
1020,20,187,50,2026-03-29 07:03:39.796443
1020,79,226,54,2026-03-29 07:03:39.796448
1021,63,321,20,2026-03-29 07:03:39.796468
1021,27,474,74,2026-03-29 07:03:39.796471
1021,25,259,71,2026-03-29 07:03:39.796474
1021,44,418,64,2026-03-29 07:03:39.796477
1021,74,200,18,2026-03-29 07:03:39.796480
1022,3,459,48,2026-03-29 07:03:39.796497
1022,10,296,97,2026-03-29 07:03:39.796500
1022,47,266,46,2026-03-29 07:03:39.796503
1022,7,320,20,2026-03-29 07:03:39.796506
1022,59,368,52,2026-03-29 07:03:39.796509
1023,97,364,17,2026-03-29 07:03:39.796526
1023,39,164,72,2026-03-29 07:03:39.796529
1023,4,158,56,2026-03-29 07:03:39.796532
1023,83,376,67,2026-03-29 07:03:39.796535
1023,10,326,67,2026-03-29 07:03:39.796538
1024,45,55,52,2026-03-29 07:03:39.796565
1024,9,302,100,2026-03-29 07:03:39.796569
1024,5,81,41,2026-03-29 07:03:39.796572
1024,48,326,19,2026-03-29 07:03:39.796576
1024,50,354,68,2026-03-29 07:03:39.796581
1025,98,466,87,2026-03-29 07:03:39.796604
1025,10,36,17,2026-03-29 07:03:39.796607
1025,37,166,82,2026-03-29 07:03:39.796610
1025,72,286,90,2026-03-29 07:03:39.796613
1025,85,0,91,2026-03-29 07:03:39.796617
1026,6,233,99,2026-03-29 07:03:39.796634
1026,69,242,35,2026-03-29 07:03:39.796637
1026,10,119,45,2026-03-29 07:03:39.796640
1026,92,293,87,2026-03-29 07:03:39.796643
1026,27,128,86,2026-03-29 07:03:39.796646
1027,86,439,63,2026-03-29 07:03:39.796662
1027,95,390,44,2026-03-29 07:03:39.796665
1027,70,161,75,2026-03-29 07:03:39.796668
1027,87,205,22,2026-03-29 07:03:39.796671
1027,18,493,23,2026-03-29 07:03:39.796674
1028,32,45,69,2026-03-29 07:03:39.796690
1028,43,101,80,2026-03-29 07:03:39.796693
1028,41,110,71,2026-03-29 07:03:39.796697
1028,57,333,95,2026-03-29 07:03:39.796702
1028,34,456,30,2026-03-29 07:03:39.796707
1029,8,204,97,2026-03-29 07:03:39.796733
1029,4,364,16,2026-03-29 07:03:39.796736
1029,81,114,51,2026-03-29 07:03:39.796739
1029,80,198,45,2026-03-29 07:03:39.796742
1029,71,479,62,2026-03-29 07:03:39.796746
1030,51,472,98,2026-03-29 07:03:39.796763
1030,10,4,38,2026-03-29 07:03:39.796766
1030,35,-5,40,2026-03-29 07:03:39.796769
1030,24,174,46,2026-03-29 07:03:39.796772
1030,91,107,58,2026-03-29 07:03:39.796775
1031,22,131,86,2026-03-29 07:03:39.796792
1031,62,295,16,2026-03-29 07:03:39.796795
1031,19,238,98,2026-03-29 07:03:39.796799
1031,10,282,97,2026-03-29 07:03:39.796802
1031,94,30,46,2026-03-29 07:03:39.796805
1032,11,479,74,2026-03-29 07:03:39.796822
1032,96,408,86,2026-03-29 07:03:39.796825
1032,83,28,63,2026-03-29 07:03:39.796828
1032,28,75,53,2026-03-29 07:03:39.796831
1032,99,102,80,2026-03-29 07:03:39.796834
1033,17,102,13,2026-03-29 07:03:39.796851
1033,82,432,88,2026-03-29 07:03:39.796854
1033,7,283,71,2026-03-29 07:03:39.796858
1033,48,224,41,2026-03-29 07:03:39.796862
1033,61,234,42,2026-03-29 07:03:39.796865
1034,16,418,76,2026-03-29 07:03:39.796884
1034,38,285,39,2026-03-29 07:03:39.796887
1034,77,312,54,2026-03-29 07:03:39.796890
1034,5,362,49,2026-03-29 07:03:39.796894
1034,70,398,39,2026-03-29 07:03:39.796898
1035,50,441,27,2026-03-29 07:03:39.796915
1035,45,175,17,2026-03-29 07:03:39.796919
1035,87,117,29,2026-03-29 07:03:39.796922
1035,51,163,70,2026-03-29 07:03:39.796926
1035,56,447,77,2026-03-29 07:03:39.796930
1036,45,169,66,2026-03-29 07:03:39.796948
1036,14,136,56,2026-03-29 07:03:39.796951
1036,100,336,69,2026-03-29 07:03:39.796954
1036,88,301,83,2026-03-29 07:03:39.796957
1036,63,3,83,2026-03-29 07:03:39.796960
1037,20,391,33,2026-03-29 07:03:39.796978
1037,60,39,32,2026-03-29 07:03:39.796981
1037,75,190,11,2026-03-29 07:03:39.796984
1037,58,174,78,2026-03-29 07:03:39.796987
1037,94,211,61,2026-03-29 07:03:39.796990
1038,100,321,33,2026-03-29 07:03:39.797006
1038,92,208,32,2026-03-29 07:03:39.797009
1038,49,14,89,2026-03-29 07:03:39.797012
1038,64,392,100,2026-03-29 07:03:39.797016
1038,24,228,29,2026-03-29 07:03:39.797019
1039,82,24,17,2026-03-29 07:03:39.797036
1039,69,19,41,2026-03-29 07:03:39.797040
1039,31,296,69,2026-03-29 07:03:39.797043
1039,63,215,33,2026-03-29 07:03:39.797046
1039,72,367,17,2026-03-29 07:03:39.797050
1040,4,163,50,2026-03-29 07:03:39.797068
1040,16,264,39,2026-03-29 07:03:39.797071
1040,52,174,11,2026-03-29 07:03:39.797074
1040,41,385,13,2026-03-29 07:03:39.797077
1040,20,86,21,2026-03-29 07:03:39.797080
1041,67,58,57,2026-03-29 07:03:39.797097
1041,49,90,73,2026-03-29 07:03:39.797100
1041,26,234,77,2026-03-29 07:03:39.797103
1041,79,342,88,2026-03-29 07:03:39.797107
1041,41,195,72,2026-03-29 07:03:39.797110
1042,32,402,46,2026-03-29 07:03:39.797127
1042,23,19,89,2026-03-29 07:03:39.797129
1042,95,424,57,2026-03-29 07:03:39.797132
1042,35,4,61,2026-03-29 07:03:39.797136
1042,54,382,98,2026-03-29 07:03:39.797139
1043,97,384,30,2026-03-29 07:03:39.797155
1043,60,462,72,2026-03-29 07:03:39.797158
1043,75,298,73,2026-03-29 07:03:39.797161
1043,91,226,98,2026-03-29 07:03:39.797164
1043,44,470,85,2026-03-29 07:03:39.797167
1044,77,93,44,2026-03-29 07:03:39.797184
1044,74,276,31,2026-03-29 07:03:39.797187
1044,59,318,36,2026-03-29 07:03:39.797190
1044,58,242,33,2026-03-29 07:03:39.797193
1044,65,355,36,2026-03-29 07:03:39.797196
1045,9,326,84,2026-03-29 07:03:39.797213
1045,62,235,49,2026-03-29 07:03:39.797216
1045,89,367,84,2026-03-29 07:03:39.797219
1045,53,26,53,2026-03-29 07:03:39.797222
1045,40,309,42,2026-03-29 07:03:39.797225
1046,50,412,20,2026-03-29 07:03:39.797241
1046,80,479,65,2026-03-29 07:03:39.797244
1046,66,3,75,2026-03-29 07:03:39.797247
1046,14,147,31,2026-03-29 07:03:39.797250
1046,43,338,99,2026-03-29 07:03:39.797253
1047,71,461,24,2026-03-29 07:03:39.797269
1047,51,447,24,2026-03-29 07:03:39.797272
1047,11,30,64,2026-03-29 07:03:39.797275
1047,7,483,79,2026-03-29 07:03:39.797278
1047,52,472,78,2026-03-29 07:03:39.797281
1048,83,220,76,2026-03-29 07:03:39.797297
1048,21,19,84,2026-03-29 07:03:39.797300
1048,20,165,11,2026-03-29 07:03:39.797303
1048,7,164,38,2026-03-29 07:03:39.797306
1048,36,463,13,2026-03-29 07:03:39.797310
1049,54,293,13,2026-03-29 07:03:39.797326
1049,100,463,88,2026-03-29 07:03:39.797329
1049,9,374,52,2026-03-29 07:03:39.797332
1049,68,252,50,2026-03-29 07:03:39.797335
1049,69,456,55,2026-03-29 07:03:39.797338
1050,76,383,68,2026-03-29 07:03:39.797354
1050,55,34,67,2026-03-29 07:03:39.797357
1050,88,9,65,2026-03-29 07:03:39.797360
1050,40,198,82,2026-03-29 07:03:39.797363
1050,83,95,65,2026-03-29 07:03:39.797366
1051,75,114,11,2026-03-29 07:03:39.797381
1051,9,125,34,2026-03-29 07:03:39.797384
1051,50,413,97,2026-03-29 07:03:39.797387
1051,80,380,17,2026-03-29 07:03:39.797390
1051,39,137,21,2026-03-29 07:03:39.797393
1052,99,77,95,2026-03-29 07:03:39.797410
1052,26,388,31,2026-03-29 07:03:39.797414
1052,16,370,71,2026-03-29 07:03:39.797417
1052,35,419,51,2026-03-29 07:03:39.797420
1052,70,53,86,2026-03-29 07:03:39.797422
1053,77,342,11,2026-03-29 07:03:39.797439
1053,50,176,47,2026-03-29 07:03:39.797442
1053,4,212,30,2026-03-29 07:03:39.797445
1053,24,58,33,2026-03-29 07:03:39.797448
1053,64,334,59,2026-03-29 07:03:39.797451
1054,29,39,85,2026-03-29 07:03:39.797467
1054,1,171,85,2026-03-29 07:03:39.797470
1054,26,235,33,2026-03-29 07:03:39.797473
1054,4,40,97,2026-03-29 07:03:39.797475
1054,25,275,80,2026-03-29 07:03:39.797478
1055,51,36,40,2026-03-29 07:03:39.797495
1055,66,26,51,2026-03-29 07:03:39.797500
1055,65,46,19,2026-03-29 07:03:39.797504
1055,23,231,66,2026-03-29 07:03:39.797510
1055,25,143,97,2026-03-29 07:03:39.797514
1056,98,280,30,2026-03-29 07:03:39.797532
1056,39,155,98,2026-03-29 07:03:39.797535
1056,82,433,90,2026-03-29 07:03:39.797538
1056,96,181,26,2026-03-29 07:03:39.797541
1056,58,379,16,2026-03-29 07:03:39.797544
1057,87,257,47,2026-03-29 07:03:39.797560
1057,27,154,79,2026-03-29 07:03:39.797563
1057,3,79,83,2026-03-29 07:03:39.797566
1057,63,368,37,2026-03-29 07:03:39.797569
1057,82,152,69,2026-03-29 07:03:39.797572
1058,66,26,41,2026-03-29 07:03:39.797588
1058,26,456,25,2026-03-29 07:03:39.797591
1058,34,427,86,2026-03-29 07:03:39.797594
1058,46,472,97,2026-03-29 07:03:39.797597
1058,33,321,29,2026-03-29 07:03:39.797599
1059,57,326,74,2026-03-29 07:03:39.797623
1059,49,485,93,2026-03-29 07:03:39.797626
1059,34,327,82,2026-03-29 07:03:39.797629
1059,16,296,25,2026-03-29 07:03:39.797632
1059,44,163,21,2026-03-29 07:03:39.797635
1060,96,344,88,2026-03-29 07:03:39.797652
1060,40,429,41,2026-03-29 07:03:39.797654
1060,63,376,39,2026-03-29 07:03:39.797657
1060,51,459,84,2026-03-29 07:03:39.797660
1060,53,192,27,2026-03-29 07:03:39.797663
1061,2,388,53,2026-03-29 07:03:39.797679
1061,42,424,30,2026-03-29 07:03:39.797682
1061,39,110,70,2026-03-29 07:03:39.797685
1061,21,321,48,2026-03-29 07:03:39.797688
1061,88,58,89,2026-03-29 07:03:39.797691
1062,30,72,15,2026-03-29 07:03:39.797707
1062,49,119,11,2026-03-29 07:03:39.797710
1062,31,343,18,2026-03-29 07:03:39.797713
1062,55,180,36,2026-03-29 07:03:39.797716
1062,90,285,23,2026-03-29 07:03:39.797719
1063,20,90,52,2026-03-29 07:03:39.797734
1063,29,195,34,2026-03-29 07:03:39.797737
1063,15,427,95,2026-03-29 07:03:39.797740
1063,42,60,36,2026-03-29 07:03:39.797743
1063,88,79,69,2026-03-29 07:03:39.797746
1064,84,45,98,2026-03-29 07:03:39.797763
1064,88,293,47,2026-03-29 07:03:39.797766
1064,95,165,87,2026-03-29 07:03:39.797769
1064,40,366,34,2026-03-29 07:03:39.797772
1064,41,134,75,2026-03-29 07:03:39.797775
1065,65,311,42,2026-03-29 07:03:39.797790
1065,23,271,19,2026-03-29 07:03:39.797793
1065,3,295,32,2026-03-29 07:03:39.797796
1065,11,75,90,2026-03-29 07:03:39.797799
1065,43,17,16,2026-03-29 07:03:39.797802
1066,44,129,100,2026-03-29 07:03:39.797818
1066,42,350,61,2026-03-29 07:03:39.797821
1066,46,348,22,2026-03-29 07:03:39.797824
1066,43,233,90,2026-03-29 07:03:39.797828
1066,66,67,26,2026-03-29 07:03:39.797833
1067,64,127,45,2026-03-29 07:03:39.797855
1067,32,-5,85,2026-03-29 07:03:39.797858
1067,41,279,74,2026-03-29 07:03:39.797861
1067,40,210,21,2026-03-29 07:03:39.797864
1067,89,409,27,2026-03-29 07:03:39.797868
1068,21,446,26,2026-03-29 07:03:39.797884
1068,63,393,71,2026-03-29 07:03:39.797887
1068,1,494,34,2026-03-29 07:03:39.797890
1068,74,470,66,2026-03-29 07:03:39.797893
1068,49,453,97,2026-03-29 07:03:39.797896
1069,74,243,77,2026-03-29 07:03:39.797912
1069,61,253,91,2026-03-29 07:03:39.797915
1069,18,377,58,2026-03-29 07:03:39.797918
1069,77,50,88,2026-03-29 07:03:39.797921
1069,14,357,93,2026-03-29 07:03:39.797924
1070,22,400,28,2026-03-29 07:03:39.797940
1070,75,92,90,2026-03-29 07:03:39.797943
1070,96,292,34,2026-03-29 07:03:39.797946
1070,46,222,25,2026-03-29 07:03:39.797949
1070,56,321,35,2026-03-29 07:03:39.797952
1071,24,422,69,2026-03-29 07:03:39.797968
1071,40,-5,57,2026-03-29 07:03:39.797970
1071,84,261,57,2026-03-29 07:03:39.797973
1071,17,425,57,2026-03-29 07:03:39.797976
1071,95,381,54,2026-03-29 07:03:39.797979
1072,71,75,39,2026-03-29 07:03:39.797995
1072,68,126,80,2026-03-29 07:03:39.797998
1072,61,205,31,2026-03-29 07:03:39.798001
1072,41,305,55,2026-03-29 07:03:39.798004
1072,54,79,90,2026-03-29 07:03:39.798006
1073,59,470,39,2026-03-29 07:03:39.798022
1073,13,387,99,2026-03-29 07:03:39.798025
1073,62,165,12,2026-03-29 07:03:39.798028
1073,1,99,60,2026-03-29 07:03:39.798031
1073,15,43,89,2026-03-29 07:03:39.798034
1074,9,482,29,2026-03-29 07:03:39.798050
1074,66,214,77,2026-03-29 07:03:39.798053
1074,24,422,23,2026-03-29 07:03:39.798056
1074,65,400,81,2026-03-29 07:03:39.798059
1074,42,386,10,2026-03-29 07:03:39.798061
1075,37,287,96,2026-03-29 07:03:39.798078
1075,6,448,66,2026-03-29 07:03:39.798081
1075,9,164,82,2026-03-29 07:03:39.798084
1075,33,274,71,2026-03-29 07:03:39.798087
1075,53,140,19,2026-03-29 07:03:39.798090
1076,34,27,14,2026-03-29 07:03:39.798106
1076,54,130,54,2026-03-29 07:03:39.798109
1076,48,151,28,2026-03-29 07:03:39.798112
1076,3,225,60,2026-03-29 07:03:39.798115
1076,6,77,61,2026-03-29 07:03:39.798118
1077,32,326,58,2026-03-29 07:03:39.798134
1077,100,244,63,2026-03-29 07:03:39.798137
1077,41,415,60,2026-03-29 07:03:39.798140
1077,65,326,15,2026-03-29 07:03:39.798143
1077,97,113,34,2026-03-29 07:03:39.798145
1078,57,311,78,2026-03-29 07:03:39.798161
1078,95,176,11,2026-03-29 07:03:39.798164
1078,34,288,28,2026-03-29 07:03:39.798167
1078,43,129,67,2026-03-29 07:03:39.798170
1078,50,394,90,2026-03-29 07:03:39.798173
1079,79,394,99,2026-03-29 07:03:39.798189
1079,88,452,80,2026-03-29 07:03:39.798191
1079,46,326,61,2026-03-29 07:03:39.798194
1079,60,26,59,2026-03-29 07:03:39.798197
1079,41,393,92,2026-03-29 07:03:39.798200
1080,5,307,61,2026-03-29 07:03:39.798216
1080,32,475,93,2026-03-29 07:03:39.798219
1080,15,110,80,2026-03-29 07:03:39.798222
1080,61,125,24,2026-03-29 07:03:39.798225
1080,14,339,26,2026-03-29 07:03:39.798227
1081,40,379,59,2026-03-29 07:03:39.798243
1081,52,312,81,2026-03-29 07:03:39.798246
1081,13,382,14,2026-03-29 07:03:39.798249
1081,63,301,36,2026-03-29 07:03:39.798251
1081,23,307,18,2026-03-29 07:03:39.798254
1082,30,425,97,2026-03-29 07:03:39.798270
1082,92,481,87,2026-03-29 07:03:39.798273
1082,47,55,18,2026-03-29 07:03:39.798276
1082,97,218,15,2026-03-29 07:03:39.798279
1082,43,410,32,2026-03-29 07:03:39.798281
1083,63,51,54,2026-03-29 07:03:39.798297
1083,78,134,59,2026-03-29 07:03:39.798300
1083,68,302,24,2026-03-29 07:03:39.798303
1083,67,111,47,2026-03-29 07:03:39.798305
1083,11,388,73,2026-03-29 07:03:39.798308
1084,76,160,64,2026-03-29 07:03:39.798324
1084,26,27,44,2026-03-29 07:03:39.798327
1084,79,131,24,2026-03-29 07:03:39.798330
1084,10,124,100,2026-03-29 07:03:39.798332
1084,33,471,63,2026-03-29 07:03:39.798335
1085,39,45,69,2026-03-29 07:03:39.798351
1085,68,319,27,2026-03-29 07:03:39.798353
1085,86,152,83,2026-03-29 07:03:39.798356
1085,73,27,38,2026-03-29 07:03:39.798359
1085,98,407,61,2026-03-29 07:03:39.798362
1086,15,421,39,2026-03-29 07:03:39.798378
1086,96,113,76,2026-03-29 07:03:39.798380
1086,76,323,55,2026-03-29 07:03:39.798383
1086,95,499,73,2026-03-29 07:03:39.798386
1086,79,403,17,2026-03-29 07:03:39.798389
1087,34,232,46,2026-03-29 07:03:39.798405
1087,64,336,64,2026-03-29 07:03:39.798408
1087,92,102,21,2026-03-29 07:03:39.798410
1087,27,180,53,2026-03-29 07:03:39.798413
1087,81,472,66,2026-03-29 07:03:39.798416
1088,65,185,36,2026-03-29 07:03:39.798447
1088,67,125,29,2026-03-29 07:03:39.798450
1088,26,131,85,2026-03-29 07:03:39.798453
1088,27,35,82,2026-03-29 07:03:39.798456
1088,93,326,46,2026-03-29 07:03:39.798459
1089,89,1,52,2026-03-29 07:03:39.798476
1089,32,110,98,2026-03-29 07:03:39.798479
1089,62,473,38,2026-03-29 07:03:39.798482
1089,26,250,88,2026-03-29 07:03:39.798485
1089,41,40,89,2026-03-29 07:03:39.798488
1090,14,228,93,2026-03-29 07:03:39.798504
1090,73,119,19,2026-03-29 07:03:39.798507
1090,36,500,81,2026-03-29 07:03:39.798510
1090,60,204,66,2026-03-29 07:03:39.798513
1090,40,266,50,2026-03-29 07:03:39.798516
1091,19,407,83,2026-03-29 07:03:39.798532
1091,72,223,44,2026-03-29 07:03:39.798534
1091,46,391,61,2026-03-29 07:03:39.798538
1091,22,42,37,2026-03-29 07:03:39.798541
1091,83,497,24,2026-03-29 07:03:39.798543
1092,25,488,92,2026-03-29 07:03:39.798563
1092,77,190,12,2026-03-29 07:03:39.798568
1092,87,155,62,2026-03-29 07:03:39.798573
1092,60,480,61,2026-03-29 07:03:39.798584
1092,91,193,18,2026-03-29 07:03:39.798587
1093,84,429,41,2026-03-29 07:03:39.798605
1093,53,410,83,2026-03-29 07:03:39.798607
1093,82,460,64,2026-03-29 07:03:39.798610
1093,38,248,87,2026-03-29 07:03:39.798613
1093,1,477,94,2026-03-29 07:03:39.798616
1094,31,57,85,2026-03-29 07:03:39.798633
1094,86,263,87,2026-03-29 07:03:39.798636
1094,81,-5,90,2026-03-29 07:03:39.798639
1094,37,-5,23,2026-03-29 07:03:39.798644
1094,82,167,96,2026-03-29 07:03:39.798649
1095,17,407,21,2026-03-29 07:03:39.798674
1095,24,42,35,2026-03-29 07:03:39.798677
1095,73,471,35,2026-03-29 07:03:39.798680
1095,21,438,37,2026-03-29 07:03:39.798682
1095,97,454,48,2026-03-29 07:03:39.798685
1096,80,363,20,2026-03-29 07:03:39.798702
1096,46,203,90,2026-03-29 07:03:39.798705
1096,73,33,39,2026-03-29 07:03:39.798707
1096,49,253,14,2026-03-29 07:03:39.798710
1096,6,21,83,2026-03-29 07:03:39.798713
1097,100,1,94,2026-03-29 07:03:39.798729
1097,86,48,73,2026-03-29 07:03:39.798731
1097,95,2,71,2026-03-29 07:03:39.798734
1097,8,359,63,2026-03-29 07:03:39.798737
1097,3,182,52,2026-03-29 07:03:39.798740
1098,3,479,41,2026-03-29 07:03:39.798755
1098,75,333,83,2026-03-29 07:03:39.798759
1098,46,378,40,2026-03-29 07:03:39.798762
1098,19,21,36,2026-03-29 07:03:39.798764
1098,50,295,29,2026-03-29 07:03:39.798767
1099,69,318,76,2026-03-29 07:03:39.798805
1099,62,423,73,2026-03-29 07:03:39.798809
1099,93,53,16,2026-03-29 07:03:39.798811
1099,23,499,25,2026-03-29 07:03:39.798814
1099,36,129,51,2026-03-29 07:03:39.798817
1100,58,43,73,2026-03-29 07:03:39.798834
1100,14,373,14,2026-03-29 07:03:39.798837
1100,24,298,64,2026-03-29 07:03:39.798839
1100,54,73,100,2026-03-29 07:03:39.798842
1100,87,292,62,2026-03-29 07:03:39.798845
1101,56,314,81,2026-03-29 07:03:39.798862
1101,8,45,19,2026-03-29 07:03:39.798865
1101,93,120,70,2026-03-29 07:03:39.798867
1101,48,464,23,2026-03-29 07:03:39.798870
1101,64,151,69,2026-03-29 07:03:39.798873
1102,93,371,24,2026-03-29 07:03:39.798889
1102,30,68,79,2026-03-29 07:03:39.798892
1102,10,66,27,2026-03-29 07:03:39.798895
1102,60,367,94,2026-03-29 07:03:39.798898
1102,3,25,74,2026-03-29 07:03:39.798900
1103,64,377,42,2026-03-29 07:03:39.798916
1103,4,242,28,2026-03-29 07:03:39.798919
1103,74,162,72,2026-03-29 07:03:39.798922
1103,81,-5,47,2026-03-29 07:03:39.798925
1103,67,276,38,2026-03-29 07:03:39.798928
1104,92,305,77,2026-03-29 07:03:39.798944
1104,3,494,20,2026-03-29 07:03:39.798947
1104,90,120,33,2026-03-29 07:03:39.798950
1104,24,95,45,2026-03-29 07:03:39.798953
1104,10,6,58,2026-03-29 07:03:39.798956
1105,95,400,51,2026-03-29 07:03:39.798972
1105,43,129,89,2026-03-29 07:03:39.798975
1105,57,3,49,2026-03-29 07:03:39.798978
1105,78,462,44,2026-03-29 07:03:39.798980
1105,47,499,57,2026-03-29 07:03:39.798983
1106,2,338,15,2026-03-29 07:03:39.798999
1106,52,154,78,2026-03-29 07:03:39.799002
1106,95,107,87,2026-03-29 07:03:39.799004
1106,27,188,91,2026-03-29 07:03:39.799007
1106,9,323,39,2026-03-29 07:03:39.799010
1107,77,-5,94,2026-03-29 07:03:39.799025
1107,33,140,30,2026-03-29 07:03:39.799028
1107,98,163,79,2026-03-29 07:03:39.799031
1107,40,333,93,2026-03-29 07:03:39.799034
1107,55,124,15,2026-03-29 07:03:39.799037
1108,20,356,13,2026-03-29 07:03:39.799052
1108,88,40,51,2026-03-29 07:03:39.799055
1108,58,429,38,2026-03-29 07:03:39.799058
1108,27,69,63,2026-03-29 07:03:39.799061
1108,45,347,37,2026-03-29 07:03:39.799065
1109,88,-5,100,2026-03-29 07:03:39.799089
1109,10,75,93,2026-03-29 07:03:39.799093
1109,12,102,78,2026-03-29 07:03:39.799097
1109,45,263,100,2026-03-29 07:03:39.799101
1109,11,356,61,2026-03-29 07:03:39.799105
1110,88,25,65,2026-03-29 07:03:39.799131
1110,69,66,23,2026-03-29 07:03:39.799134
1110,66,59,79,2026-03-29 07:03:39.799137
1110,90,316,41,2026-03-29 07:03:39.799140
1110,29,87,62,2026-03-29 07:03:39.799142
1111,98,485,12,2026-03-29 07:03:39.799158
1111,40,229,14,2026-03-29 07:03:39.799161
